Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
HD 45364 b,HD 45364,Radial Velocity,La Silla Observatory,K0 V,[Fe/H],914,1,2,2008,226.93,0.6813,59.4953,0.1684,,,5434.0,,0.82,-0.17,4.38,34.354,7.88016
HD 45364 c,HD 45364,Radial Velocity,La Silla Observatory,K0 V,[Fe/H],915,1,2,2008,342.85,0.8972,209.0915,0.0974,,,5434.0,,0.82,-0.17,4.38,34.354,7.88016
HD 45652 b,HD 45652,Radial Velocity,Haute-Provence Observatory,G8/K0,[Fe/H],916,1,1,2008,44.073,0.237,137.62039,0.607,,,5294.0,0.94,0.92,0.26,,34.8541,7.9118
HD 46375 b,HD 46375,Radial Velocity,W. M. Keck Observatory,,[Fe/H],917,2,1,2000,3.023573,0.0398,71.8,0.063,,,5285.0,,0.92,0.24,4.53,29.5529,7.69533
HD 47186 b,HD 47186,Radial Velocity,La Silla Observatory,,[Fe/H],918,1,2,2008,4.0845,0.05,22.2481,0.04,,,5657.0,1.08,0.96,0.24,4.36,37.4574,7.44897
HD 47186 c,HD 47186,Radial Velocity,La Silla Observatory,,,919,1,2,2008,1353.6,2.395,111.42,0.249,,,,,,,,37.4574,7.44897
HD 4732 b,HD 4732,Radial Velocity,Multiple Observatories,K0 IV,[Fe/H],920,2,2,2012,360.2,1.19,753.23,0.13,,,4959.0,5.4,1.74,0.01,3.16,54.7841,5.6509
HD 4732 c,HD 4732,Radial Velocity,Multiple Observatories,K0 IV,[Fe/H],921,2,2,2012,2732.0,4.6,753.23,0.23,,,4959.0,5.4,1.74,0.01,3.16,54.7841,5.6509
HD 47366 b,HD 47366,Radial Velocity,Okayama Astrophysical Observatory,,[Fe/H],922,1,2,2016,359.15,1.28,731.009,0.06,,,4914.0,6.2,2.19,-0.07,3.1,84.3552,5.83869
HD 47366 c,HD 47366,Radial Velocity,Okayama Astrophysical Observatory,,[Fe/H],923,1,2,2016,682.85,1.97,597.5204,0.1,,,4914.0,6.2,2.19,-0.07,3.1,84.3552,5.83869
HD 47536 b,HD 47536,Radial Velocity,La Silla Observatory,K1 III,,924,1,1,2002,712.13,1.93,2330.0,0.2,,,4380.0,23.47,2.1,,,122.536,4.88004
HD 4760 b,HD 4760,Radial Velocity,Multiple Observatories,,[Fe/H],925,1,1,2021,434.0,1.14,4417.837,0.23,,,4076.0,42.4,1.05,-0.91,1.62,537.873,6.98504
HD 48265 b,HD 48265,Radial Velocity,Las Campanas Observatory,,[Fe/H],926,1,1,2008,778.51,1.814,484.69075,0.211,,,5733.0,1.9,1.31,0.3,3.97,90.5446,7.87925
HD 4917 b,HD 4917,Radial Velocity,W. M. Keck Observatory,,,927,1,1,2018,400.5,1.167,513.29545,0.066,,,4802.0,5.01,1.32,,2.97,204.277,7.74877
HD 49674 b,HD 49674,Radial Velocity,W. M. Keck Observatory,,[Fe/H],928,1,1,2002,4.94737,0.06,31.783,0.09,,,5602.0,1.02,1.03,0.32,4.44,43.0399,7.91841
HD 50499 b,HD 50499,Radial Velocity,W. M. Keck Observatory,,[Fe/H],929,1,2,2005,2447.1,3.833,519.96988,0.266,,,6102.0,1.35,1.25,0.26,4.25,46.2845,7.0564
HD 50499 c,HD 50499,Radial Velocity,La Silla Observatory,G1 V,[Fe/H],930,1,2,2019,8619.9,9.02,931.2419,0.0,,,6099.0,1.42,1.31,0.38,4.42,46.2845,7.0564
HD 50554 b,HD 50554,Radial Velocity,Lick Observatory,,[Fe/H],931,1,1,2002,1293.0,2.353,1574.464,0.501,,,5987.0,1.02,1.04,-0.04,,31.1664,6.69786
HD 51608 b,HD 51608,Radial Velocity,La Silla Observatory,G7 V,[Fe/H],932,1,2,2019,14.0726,0.1059,12.77,0.09,,,5358.0,,0.8,-0.07,4.36,35.0553,7.96058
HD 51608 c,HD 51608,Radial Velocity,La Silla Observatory,G7 V,[Fe/H],933,1,2,2019,95.9446,0.3809,14.31,0.14,,,5358.0,,0.8,-0.07,4.36,35.0553,7.96058
HD 52265 b,HD 52265,Radial Velocity,W. M. Keck Observatory,,,934,1,1,2000,119.27,0.52,384.5743,0.27,,,6136.0,,1.2,,4.36,29.9803,6.15257
HD 5278 b,HD 5278,Transit,Transiting Exoplanet Survey Satellite (TESS),F V,[Fe/H],935,1,2,2021,14.339156,0.1202,7.8,0.08,132.0,943.0,6203.0,1.19,1.13,-0.12,4.5,57.5846,7.80375
HD 5278 c,HD 5278,Radial Velocity,Paranal Observatory,F V,[Fe/H],936,1,2,2021,40.87,0.2416,18.4,0.07,,,6203.0,1.19,1.13,-0.12,4.5,57.5846,7.80375
HD 5319 b,HD 5319,Radial Velocity,W. M. Keck Observatory,,,937,1,2,2007,637.1,1.57,494.54348,0.092,,,4871.0,4.06,1.27,,3.26,121.405,7.77238
HD 5319 c,HD 5319,Radial Velocity,W. M. Keck Observatory,,,938,1,2,2014,872.2,1.93,334.67499,0.183,,,4871.0,4.06,1.27,,3.26,121.405,7.77238
HD 55696 b,HD 55696,Radial Velocity,W. M. Keck Observatory,G0 V,[Fe/H],939,1,1,2018,1827.0,3.18,1230.0021,0.705,,,6012.0,1.52,1.29,0.37,,77.9693,7.81135
HD 5583 b,HD 5583,Radial Velocity,Roque de los Muchachos Observatory,,[Fe/H],940,1,1,2016,139.35,0.53,1837.0574,0.076,,,4830.0,9.09,1.01,-0.5,2.53,219.216,7.30769
HD 5608 b,HD 5608,Radial Velocity,Okayama Astrophysical Observatory,,,941,1,1,2012,779.9,1.911,534.27223,0.056,,,4877.0,5.14,1.53,,3.19,58.1105,5.72695
