Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
11 Com b,11 Com,Radial Velocity,Xinglong Station,G8 III,[Fe/H],1,2,1,2007,326.03,1.29,6165.6,0.231,,,4742.0,19.0,2.7,-0.35,2.31,93.1846,4.44038
11 UMi b,11 UMi,Radial Velocity,Thueringer Landessternwarte Tautenburg,,[Fe/H],2,1,1,2009,516.21997,1.53,4684.8142,0.08,,,4213.0,29.79,2.78,-0.02,1.93,125.321,4.56216
14 And b,14 And,Radial Velocity,Okayama Astrophysical Observatory,K0 III,[Fe/H],3,1,1,2008,185.84,0.83,1525.5,0.0,,,4813.0,11.0,2.2,-0.24,2.63,75.4392,4.91781
14 Her b,14 Her,Radial Velocity,W. M. Keck Observatory,,[Fe/H],4,1,2,2002,1773.40002,2.93,1481.0878,0.37,,,5338.0,0.93,0.9,0.41,4.45,17.9323,6.383
16 Cyg B b,16 Cyg B,Radial Velocity,Multiple Observatories,,[Fe/H],5,3,1,1996,798.5,1.66,565.7374,0.68,,,5750.0,1.13,1.08,0.06,4.36,21.1397,6.06428
17 Sco b,17 Sco,Radial Velocity,Lick Observatory,K3 III,[Fe/H],6,1,1,2020,578.38,1.45,1373.01872,0.06,,,4157.0,25.92,1.22,-0.01,1.7,124.953,4.75429
18 Del b,18 Del,Radial Velocity,Okayama Astrophysical Observatory,G6 III,[Fe/H],7,2,1,2008,993.3,2.6,3273.5,0.08,,,4979.0,8.5,2.3,-0.052,2.82,76.222,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,Gemini Observatory,K7 V,,8,1,1,2008,,330.0,3000.0,,,1700.0,4060.0,,0.85,,,139.135,12.0572
24 Boo b,24 Boo,Radial Velocity,Okayama Astrophysical Observatory,G3 IV,[Fe/H],9,1,1,2018,30.3506,0.19,289.2253,0.042,,,4893.0,10.64,0.99,-0.77,2.42,95.9863,5.3339
24 Sex b,24 Sex,Radial Velocity,Lick Observatory,,[Fe/H],10,1,2,2010,452.8,1.333,632.46,0.09,,,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.20374
24 Sex c,24 Sex,Radial Velocity,Lick Observatory,,[Fe/H],11,1,2,2010,883.0,2.08,273.32,0.29,,,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.20374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,Paranal Observatory,M5.5/M6,,12,2,1,2013,,84.0,4131.79,,,,,,0.19,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,W. M. Keck Observatory,M3.5 V,,13,1,1,2013,,52.0,7786.5,,,,3530.0,,0.4,,,33.8281,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,Cerro Tololo Inter-American Observatory,M6,,14,1,1,2015,,156.0,4417.837,,,,3064.0,0.28,0.11,,4.59,,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,Hubble Space Telescope,M8.5,,15,1,1,2010,,15.0,2383.6,,,,,,0.02,,,,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,Paranal Observatory,M8,,16,1,1,2004,,55.0,1589.15,,,1250.0,,,0.02,,,64.308,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,Kepler,,,17,2,1,2015,416.0,0.92,603.877,,,,,,0.48,,,396.332,12.1376
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,Imaging,W. M. Keck Observatory,M8.5,,18,1,1,2009,7336.5,,6657.48,0.26,,2075.0,2300.0,0.12,0.08,,,,17.3961
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,W. M. Keck Observatory,K7 V,,19,1,1,2016,,230.0,3972.875,,,,4045.0,,0.6,,,69.5737,11.9484
30 Ari B b,30 Ari B,Radial Velocity,Thueringer Landessternwarte Tautenburg,,[Fe/H],20,4,1,2009,335.10001,0.99,4392.4106,0.29,,,6331.0,1.41,1.93,0.19,4.43,44.657,6.96085
4 UMa b,4 UMa,Radial Velocity,Thueringer Landessternwarte Tautenburg,K1 III,[Fe/H],21,1,1,2006,269.3,0.87,2256.5,0.432,,,4415.0,18.11,1.23,-0.25,1.8,73.4603,4.23773
42 Dra b,42 Dra,Radial Velocity,Thueringer Landessternwarte Tautenburg,K1.5 III,[Fe/H],22,2,1,2008,479.1,1.19,1233.13,0.38,,,4200.0,22.03,0.98,-0.46,1.71,90.6545,4.43216
47 UMa b,47 UMa,Radial Velocity,Lick Observatory,,[M/H],23,1,3,1996,1078.0,2.1,804.08,0.032,,,5872.0,1.21,1.06,0.04,4.3,13.7967,4.87837
47 UMa c,47 UMa,Radial Velocity,Lick Observatory,,[M/H],24,1,3,2001,2391.0,3.6,171.621,0.098,,,5872.0,1.21,1.06,0.04,4.3,13.7967,4.87837
47 UMa d,47 UMa,Radial Velocity,Lick Observatory,,[M/H],25,1,3,2009,14002.0,11.6,521.22,0.16,,,5872.0,1.21,1.06,0.04,4.3,13.7967,4.87837
51 Eri b,51 Eri,Imaging,Gemini Observatory,F0 IV,[M/H],26,3,1,2015,,13.2,635.66,,,700.0,,,1.75,-0.027,,29.7575,5.15806
51 Peg b,51 Peg,Radial Velocity,Haute-Provence Observatory,,[M/H],27,1,1,1995,4.230785,0.0527,150.009,0.013,,,5758.0,1.18,1.03,0.18,4.31,15.4614,5.28647
55 Cnc b,55 Cnc,Radial Velocity,Lick Observatory,,[Fe/H],28,2,5,1996,14.6516,0.1134,255.4,0.0,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc c,55 Cnc,Radial Velocity,McDonald Observatory,,[Fe/H],29,2,5,2004,44.3989,0.2373,51.2,0.03,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc d,55 Cnc,Radial Velocity,Lick Observatory,,[Fe/H],30,2,5,2002,5574.2,5.957,991.6,0.13,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc e,55 Cnc,Radial Velocity,McDonald Observatory,,[Fe/H],31,2,5,2004,0.7365474,0.01544,7.99,0.05,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc f,55 Cnc,Radial Velocity,Multiple Observatories,,[Fe/H],32,2,5,2007,259.88,0.7708,47.8,0.08,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
6 Lyn b,6 Lyn,Radial Velocity,Okayama Astrophysical Observatory,,,33,1,1,2008,934.3,2.11,638.8383,0.073,,,4938.0,5.2,1.44,,3.19,54.6599,5.60686
61 Vir b,61 Vir,Radial Velocity,Multiple Observatories,G5 V,[Fe/H],34,1,3,2009,4.215,0.050201,5.1,0.12,,,5577.0,0.96,0.94,-0.01,4.34,8.50332,4.54052
61 Vir c,61 Vir,Radial Velocity,Multiple Observatories,G5 V,[Fe/H],35,1,3,2009,38.021,0.2175,18.2,0.14,,,5577.0,0.96,0.94,-0.01,4.34,8.50332,4.54052
61 Vir d,61 Vir,Radial Velocity,Multiple Observatories,G5 V,[Fe/H],36,1,3,2009,123.01,0.476,22.9,0.35,,,5577.0,0.96,0.94,-0.01,4.34,8.50332,4.54052
7 CMa b,7 CMa,Radial Velocity,Anglo-Australian Telescope,,[Fe/H],37,1,2,2011,735.1,1.758,587.9855,0.06,,,4826.0,4.87,1.34,0.21,3.19,19.8101,3.67853
7 CMa c,7 CMa,Radial Velocity,Multiple Observatories,,[Fe/H],38,1,2,2019,996.0,2.153,276.5121,0.08,,,4826.0,4.87,1.34,0.21,3.19,19.8101,3.67853
70 Vir b,70 Vir,Radial Velocity,Lick Observatory,,,39,1,1,1996,116.688,0.481,2357.02728,0.3988,,,5495.0,1.89,1.09,,3.95,17.9011,4.76178
75 Cet b,75 Cet,Radial Velocity,Okayama Astrophysical Observatory,G3 III,[Fe/H],40,2,1,2012,691.9,2.1,953.49,0.117,,,4846.0,10.5,2.49,0.0,2.63,82.9613,5.09343
8 UMi b,8 UMi,Radial Velocity,Bohyunsan Optical Astronomical Observatory,,[Fe/H],41,1,1,2015,93.4,0.49,416.3573,0.06,,,4847.0,10.3,1.44,-0.03,2.57,162.552,6.55896
81 Cet b,81 Cet,Radial Velocity,Okayama Astrophysical Observatory,G5 III,[Fe/H],42,1,1,2008,952.7,2.5,1684.4,0.206,,,4785.0,11.0,2.4,-0.06,2.35,101.26,5.37588
91 Aqr b,91 Aqr,Radial Velocity,Lick Observatory,K0 III,[Fe/H],43,3,1,2013,181.4,0.7,1017.0,0.027,,,4665.0,11.0,1.4,-0.03,2.52,44.0304,3.95311
AB Pic b,AB Pic,Imaging,Paranal Observatory,K2 V,,44,1,1,2005,,260.0,4290.5,,,,,,,,,50.0475,8.8378
AU Mic b,AU Mic,Transit,Transiting Exoplanet Survey Satellite (TESS),,,45,1,2,2020,8.463,0.0645,17.0,0.0,,593.0,3700.0,0.75,0.5,,,9.7221,7.84038
AU Mic c,AU Mic,Transit,Transiting Exoplanet Survey Satellite (TESS),,,46,1,2,2021,18.859019,0.1101,13.6,0.0,,454.0,3700.0,0.75,0.5,,,9.7221,7.84038
BD+03 2562 b,BD+03 2562,Radial Velocity,Multiple Observatories,,[Fe/H],47,1,1,2017,481.9,1.3,2034.112,0.2,,,4095.0,32.35,1.14,-0.71,1.89,1070.63,8.9977
BD+14 4559 b,BD+14 4559,Radial Velocity,McDonald Observatory,,[Fe/H],48,1,1,2009,268.94,0.78,330.5432,0.29,,,4864.0,0.86,0.49,0.17,4.26,49.352,9.35108
BD+15 2375 b,BD+15 2375,Radial Velocity,Roque de los Muchachos Observatory,,[Fe/H],49,1,1,2016,153.22,0.576,337.21763,0.001,,,4649.0,8.95,1.08,-0.22,2.61,768.045,9.9918
BD+15 2940 b,BD+15 2940,Radial Velocity,McDonald Observatory,K0,[Fe/H],50,1,1,2013,137.48,0.539,352.78,0.26,,,4796.0,14.7,1.1,0.28,2.8,426.42,8.7178
BD+20 2457 b,BD+20 2457,Radial Velocity,McDonald Observatory,,[Fe/H],51,1,2,2009,379.63,1.05,17668.1697,0.15,,,4259.0,71.02,10.83,-0.79,1.77,1539.71,9.22684
BD+20 2457 c,BD+20 2457,Radial Velocity,McDonald Observatory,K2 II,[Fe/H],52,1,2,2009,621.99,2.01,3963.17,0.18,,,4137.0,49.0,2.8,-1.0,1.51,1539.71,9.22684
BD+20 274 b,BD+20 274,Radial Velocity,McDonald Observatory,K5 III,[Fe/H],53,1,1,2012,578.2,1.3,1334.886,0.21,,,4296.0,17.3,0.8,-0.46,1.99,1322.51,8.91613
BD+20 594 b,BD+20 594,Transit,K2,,[Fe/H],54,1,1,2016,41.6855,,22.2481,0.0,,,5766.0,1.08,1.67,-0.15,4.5,179.461,10.8644
BD+45 564 b,BD+45 564,Radial Velocity,Haute-Provence Observatory,K1,[Fe/H],55,1,1,2021,307.88,0.83,432.24663,0.12,,,5004.0,,0.81,-0.09,4.22,53.622,9.41266
BD+48 738 b,BD+48 738,Radial Velocity,McDonald Observatory,K0 III,[Fe/H],56,1,1,2011,392.6,1.0,289.2253,0.2,,,4414.0,11.0,0.74,-0.2,2.24,871.493,8.65569
BD+48 740 b,BD+48 740,Radial Velocity,Multiple Observatories,,[Fe/H],57,1,1,2018,733.0,1.7,540.311,0.76,,,4534.0,10.33,1.09,-0.13,2.48,666.589,8.26449
BD+49 828 b,BD+49 828,Radial Velocity,McDonald Observatory,K0,[Fe/H],58,1,1,2015,2590.0,4.2,508.5,0.35,,,4943.0,7.6,1.52,-0.19,2.85,442.042,9.02851
BD+55 362 b,BD+55 362,Radial Velocity,Haute-Provence Observatory,K3,[Fe/H],59,1,1,2021,265.59,0.78,228.83645,0.27,,,5012.0,,0.91,0.18,4.09,52.5697,9.15305
BD+63 1405 b,BD+63 1405,Radial Velocity,Haute-Provence Observatory,K0,[Fe/H],60,1,1,2021,1198.48,2.06,1258.60049,0.88,,,5000.0,,0.82,-0.09,4.2,38.0473,8.705
BD-00 4475 b,BD-00 4475,Radial Velocity,Haute-Provence Observatory,G0,[Fe/H],61,1,1,2021,723.2,1.48,7961.6016,0.39,,,5040.0,,0.81,-0.14,4.25,42.6402,8.78101
BD-06 1339 b,BD-06 1339,Radial Velocity,La Silla Observatory,K7/M0 V,[Fe/H],62,1,2,2013,3.8728,0.0428,8.5,0.0,,,4324.0,,0.7,-0.14,4.74,20.2695,9.10677
BD-06 1339 c,BD-06 1339,Radial Velocity,La Silla Observatory,K7/M0 V,[Fe/H],63,1,2,2013,125.94,0.435,53.0,0.31,,,4324.0,,0.7,-0.14,4.74,20.2695,9.10677
BD-08 2823 b,BD-08 2823,Radial Velocity,La Silla Observatory,,[Fe/H],64,1,2,2009,5.6,0.06,12.7132,0.15,,,4816.0,0.71,0.5,-0.06,4.43,41.3342,9.50331
BD-08 2823 c,BD-08 2823,Radial Velocity,La Silla Observatory,K3 V,[Fe/H],65,1,2,2009,237.6,0.68,104.0,0.19,,,4746.0,,0.74,-0.07,4.13,41.3342,9.50331
BD-10 3166 b,BD-10 3166,Radial Velocity,W. M. Keck Observatory,,[Fe/H],66,1,1,2000,3.48777,0.04,187.5197,0.02,,,5393.0,0.91,1.47,0.38,4.69,84.4069,9.83981
BD-11 4672 b,BD-11 4672,Radial Velocity,La Silla Observatory,,[Fe/H],67,1,2,2014,1634.0,2.36,206.5895,0.05,,,4550.0,0.64,0.65,-0.35,4.64,27.1665,9.48511
BD-11 4672 c,BD-11 4672,Radial Velocity,Roque de los Muchachos Observatory,,[Fe/H],68,1,2,2020,74.2,0.3,15.37,0.4,,,4550.0,0.64,0.65,-0.35,4.64,27.1665,9.48511
BD-13 2130 b,BD-13 2130,Radial Velocity,La Silla Observatory,,[Fe/H],69,1,1,2007,714.29999,1.66,3108.3774,0.21,,,4545.0,19.17,2.12,-0.08,2.2,925.214,9.69971
BD-17 63 b,BD-17 63,Radial Velocity,La Silla Observatory,K5 V,[Fe/H],70,1,1,2008,655.6,1.34,1620.9,0.54,,,4714.0,0.69,0.74,-0.03,4.26,34.4603,9.20112
CD Cet b,CD Cet,Radial Velocity,Calar Alto Observatory,M5.0 V,[Fe/H],71,1,1,2020,2.2907,0.0185,3.95,,8.6,464.0,3130.0,0.17,0.16,0.13,4.93,8.60715,12.1232
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,W. M. Keck Observatory,,,72,1,1,2011,10037.5,2.6,3337.1,,,370.0,580.5,,0.02,,4.72,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,Hubble Space Telescope,M9-L1,,73,1,1,2021,8040000.0,200.0,2479.06157,,,1800.0,2320.0,0.24,0.01,,3.85,,
CHXR 73 b,CHXR 73,Imaging,Hubble Space Telescope,M3.5,,74,1,1,2006,,210.0,3994.486,,,,,,0.35,,,190.374,17.2934
CI Tau b,CI Tau,Radial Velocity,Multiple Observatories,K7,,75,1,1,2019,8.9891,,3686.828,0.25,,,,,0.9,,,157.998,12.1454
COCONUTS-2 b,COCONUTS-2 A,Imaging,NASA Infrared Telescope Facility (IRTF),M3 V,[Fe/H],76,1,1,2021,402000000.0,7506.0,2002.31896,,,434.0,3406.0,0.39,0.37,0.0,4.83,10.8864,10.146
CT Cha b,CT Cha,Imaging,Paranal Observatory,,,77,1,1,2007,,440.0,5403.0,,,2600.0,,,,,,190.72,11.7733
CoRoT-1 b,CoRoT-1,Transit,CoRoT,G0 V,[M/H],78,1,1,2008,1.5089557,,327.35,0.0,,1898.0,5950.0,1.11,0.95,-0.3,4.25,787.909,13.457
CoRoT-10 b,CoRoT-10,Transit,CoRoT,K1 V,[Fe/H],79,1,1,2010,13.2406,0.1055,874.0,0.53,,600.0,5075.0,0.79,0.89,0.26,4.65,338.386,14.6645
CoRoT-11 b,CoRoT-11,Transit,CoRoT,F6 V,[Fe/H],80,1,1,2010,2.99433,0.0436,740.51,0.0,,1657.0,6440.0,1.37,1.27,-0.03,4.22,655.037,12.841
CoRoT-12 b,CoRoT-12,Transit,CoRoT,,[Fe/H],81,1,1,2010,2.828042,0.04016,291.438,0.07,,1442.0,5675.0,1.12,1.08,0.16,4.38,1126.37,15.3453
CoRoT-13 b,CoRoT-13,Transit,CoRoT,G0 V,[Fe/H],82,1,1,2010,4.03519,0.051,415.704,0.0,,1700.0,5945.0,1.01,1.09,0.01,4.46,1148.93,14.9147
CoRoT-14 b,CoRoT-14,Transit,CoRoT,F9 V,[Fe/H],83,1,1,2010,1.51214,0.027,2415.4,0.0,,1952.0,6035.0,1.21,1.13,0.05,4.35,1744.6,15.8116
CoRoT-16 b,CoRoT-16,Transit,CoRoT,G5 V,[M/H],84,1,1,2011,5.35227,0.0618,170.032,0.33,,,5650.0,1.19,1.1,0.19,4.36,732.409,15.6507
CoRoT-17 b,CoRoT-17,Transit,CoRoT,G2 V,[Fe/H],85,1,1,2011,3.7681,0.0461,772.29,0.0,,1626.0,5740.0,1.59,1.04,0.0,4.4,1176.12,15.4368
CoRoT-18 b,CoRoT-18,Transit,CoRoT,G9 V,[Fe/H],86,1,1,2011,1.9000693,0.0295,1102.82,0.08,,1550.0,5440.0,1.0,0.95,-0.1,4.4,764.889,14.8009
CoRoT-19 b,CoRoT-19,Transit,CoRoT,F9 V,[Fe/H],87,1,1,2011,3.89713,0.0518,352.78,0.047,,2000.0,6090.0,1.65,1.21,-0.02,4.07,790.663,13.7831
CoRoT-2 b,CoRoT-2,Transit,CoRoT,,,88,2,1,2008,1.7429935,0.02798,1102.82,0.0143,,,5625.0,0.91,0.96,,,213.283,12.2489
CoRoT-20 b,CoRoT-20,Transit,CoRoT,,,89,1,2,2011,9.24285,0.09,1366.669,0.59,,,,,1.14,,,844.061,14.4686
CoRoT-20 c,CoRoT-20,Radial Velocity,Multiple Observatories,,,90,1,2,2018,1675.0,2.9,5403.11,0.6,,,,,1.14,,,844.061,14.4686
CoRoT-21 b,CoRoT-21,Transit,CoRoT,F8 IV,[Fe/H],91,1,1,2012,2.72474,0.0417,718.2958,0.0,,,6200.0,1.95,1.29,0.0,3.7,,15.8558
CoRoT-22 b,CoRoT-22,Transit,CoRoT,G3 V,[Fe/H],92,1,1,2014,9.75598,0.092,12.2,0.077,,885.0,5939.0,1.14,1.1,0.17,4.36,627.158,13.7305
CoRoT-23 b,CoRoT-23,Transit,CoRoT,G0 V,[Fe/H],93,1,1,2011,3.6313,0.048,889.9,0.16,,1660.0,5900.0,1.61,1.14,0.05,4.3,1060.97,15.0681
CoRoT-24 b,CoRoT-24,Transit,CoRoT,K1 V,[Fe/H],94,1,2,2014,5.1134,0.056,5.7,0.0,,1070.0,4950.0,0.86,0.91,0.3,4.55,591.555,15.1801
CoRoT-24 c,CoRoT-24,Transit,CoRoT,K1 V,[Fe/H],95,1,2,2014,11.759,0.098,28.0,0.0,,850.0,4950.0,0.86,0.91,0.3,4.55,591.555,15.1801
CoRoT-25 b,CoRoT-25,Transit,CoRoT,F9,[Fe/H],96,1,1,2013,4.86069,0.0578,85.81,0.0,,1330.0,6040.0,1.19,1.09,-0.01,4.31,1103.48,14.711
CoRoT-26 b,CoRoT-26,Transit,CoRoT,G5,[Fe/H],97,1,1,2013,4.20474,0.0526,165.26,0.0,,1600.0,5590.0,1.79,1.09,0.01,3.99,1045.18,15.4682
CoRoT-27 b,CoRoT-27,Transit,CoRoT,G2,[M/H],98,1,1,2014,3.57532,0.0476,3302.11,0.065,,1500.0,5900.0,1.08,1.05,-0.1,4.4,1010.28,15.3902
CoRoT-28 b,CoRoT-28,Transit,CoRoT,G8/9 IV,[Fe/H],99,1,1,2015,5.20851,0.0603,153.82972,0.047,,,5150.0,1.78,1.01,0.15,3.6,766.183,13.4119
CoRoT-29 b,CoRoT-29,Transit,CoRoT,K0 V,[Fe/H],100,1,1,2015,2.85057,0.0386,270.1555,0.082,,,5260.0,0.9,0.97,0.2,4.3,806.507,15.2394
CoRoT-3 b,CoRoT-3,Transit,CoRoT,F3 V,,101,1,1,2008,4.2568,,6883.91,0.0,,,6740.0,1.56,1.37,,4.22,768.771,13.2188
CoRoT-30 b,CoRoT-30,Transit,CoRoT,G3 V,[Fe/H],102,1,1,2020,9.06005,0.0844,921.707,0.007,,,5650.0,0.91,0.98,0.02,4.4,1032.23,15.413
CoRoT-31 b,CoRoT-31,Transit,CoRoT,G2 IV,[Fe/H],103,1,1,2020,4.62941,0.0586,266.9772,0.02,,,5700.0,2.15,1.25,0.0,3.85,2005.76,15.4655
CoRoT-4 b,CoRoT-4,Transit,CoRoT,,,104,1,1,2008,9.20205,0.09,228.83,0.0,,1074.0,6190.0,1.17,1.16,,4.41,726.412,13.5613
CoRoT-5 b,CoRoT-5,Transit,CoRoT,F9 V,[M/H],105,1,1,2009,4.0378962,0.04947,148.42,0.09,,1438.0,6100.0,1.19,1.0,-0.25,4.19,882.472,13.9021
CoRoT-6 b,CoRoT-6,Transit,CoRoT,F9 V,[Fe/H],106,1,1,2009,8.886593,0.0855,940.74,0.1,,1017.0,6090.0,1.02,1.05,-0.2,4.43,645.294,13.7459
CoRoT-7 b,CoRoT-7,Transit,CoRoT,,[Fe/H],107,1,2,2009,0.85359163,,4.07661,0.0,,,5275.0,0.83,0.82,0.05,4.5,159.906,11.5239
CoRoT-7 c,CoRoT-7,Radial Velocity,CoRoT,,[M/H],108,1,2,2009,3.698,0.046,8.4,0.0,,,5256.0,0.86,0.9,0.06,4.52,159.906,11.5239
CoRoT-8 b,CoRoT-8,Transit,CoRoT,K1 V,[M/H],109,1,1,2010,6.21229,0.063,69.92,0.0,,,5080.0,0.77,0.88,0.3,4.58,322.037,14.2195
CoRoT-9 b,CoRoT-9,Transit,CoRoT,,[Fe/H],110,2,1,2009,95.272656,0.4021,266.9772,0.133,,420.0,5625.0,0.96,0.96,-0.01,4.54,412.98,13.5008
CoRoTID 223977153 b,CoRoTID 223977153,Transit,CoRoT,G0 VI,[Fe/H],111,1,1,2017,6.71837,0.071,47.6745,,132.26,938.0,5970.0,0.79,1.08,0.0,4.67,576.683,13.5867
DE CVn b,DE CVn,Eclipse Timing Variations,Multiple Facilities,,,112,2,1,2018,4098.1,5.75,3823.2733,0.0,,,,,0.51,,,30.5225,11.9752
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,Paranal Observatory,L1.5,,113,1,1,2013,246.36,0.36,9057.77,0.345,,,,,0.07,,,,18.5577
DH Tau b,DH Tau,Imaging,Subaru Telescope,M0.5,,114,1,1,2004,,330.0,3496.0,,,,,0.27,0.33,,,134.846,12.4961
DMPP-1 b,DMPP-1,Radial Velocity,La Silla Observatory,F8 V,,115,1,4,2019,18.57,0.1462,24.27,0.083,,877.0,6196.0,1.26,1.21,,4.41,62.5388,7.85032
DMPP-1 c,DMPP-1,Radial Velocity,La Silla Observatory,F8 V,,116,1,4,2019,6.584,0.0733,9.6,0.057,,1239.0,6196.0,1.26,1.21,,4.41,62.5388,7.85032
DMPP-1 d,DMPP-1,Radial Velocity,La Silla Observatory,F8 V,,117,1,4,2019,2.882,0.0422,3.35,0.07,,1632.0,6196.0,1.26,1.21,,4.41,62.5388,7.85032
DMPP-1 e,DMPP-1,Radial Velocity,La Silla Observatory,F8 V,,118,1,4,2019,5.516,0.0651,4.13,0.07,,1314.0,6196.0,1.26,1.21,,4.41,62.5388,7.85032
DMPP-2 b,DMPP-2,Radial Velocity,Multiple Facilities,F5 V,,119,1,1,2019,5.2072,0.0664,138.89171,0.078,,1000.0,6500.0,1.78,1.44,,4.1,137.94,8.45824
DMPP-3 A b,DMPP-3 A,Radial Velocity,La Silla Observatory,K0 V,[Fe/H],120,2,1,2019,6.6732,0.0662,2.58,0.14,,854.0,5138.0,0.91,0.87,0.18,4.3,45.23,
DP Leo b,DP Leo,Eclipse Timing Variations,Yunnan Astronomical Observatory,,,121,2,1,2009,10220.0,8.19,1922.79,0.39,,,,,0.69,,,305.684,18.6333
DS Tuc A b,DS Tuc A,Transit,Transiting Exoplanet Survey Satellite (TESS),G6 V,,122,2,1,2019,8.138268,,,0.0,,850.0,5428.0,0.96,1.01,0.0,,44.0622,8.31926
EPIC 201170410.02,EPIC 201170410,Transit,K2,,[Fe/H],123,1,1,2020,6.7987,0.0349,,0.0,,,3648.0,0.28,0.29,-0.048,5.0,,16.4386
EPIC 201238110 b,EPIC 201238110,Transit,K2,,,124,1,1,2019,28.1656,,,,,,,,0.41,,,159.259,15.2612
EPIC 201427007 b,EPIC 201427007,Transit,K2,,[Fe/H],125,1,1,2021,0.72091,,,,,,5633.0,0.94,,-0.053,4.4,706.391,14.147
EPIC 201497682 b,EPIC 201497682,Transit,K2,,,126,1,1,2019,2.13174,,,,,,,,0.78,,,253.026,13.7368
EPIC 201595106 b,EPIC 201595106,Transit,K2,,[Fe/H],127,1,1,2021,0.877214,,,,,,5820.0,0.93,,-0.01,4.6,232.1,11.6477
EPIC 201615463 c,K2-166,Transit,K2,,,128,1,2,2019,3.80464,,,,,,,,1.07,,,476.882,11.9456
EPIC 201754305 d,K2-16,Transit,K2,,,129,1,3,2019,2.71578,,,,,,,,0.67,,,334.967,14.3234
EPIC 201757695.02,EPIC 201757695,Transit,K2,,[Fe/H],130,1,1,2020,2.0478,0.0296,,0.0,,,4520.0,0.66,0.73,-0.003,4.66,,
EPIC 201833600 c,K2-50,Transit,K2,,,131,1,2,2019,3.96151,,,,,,,,0.61,,,257.443,14.2575
EPIC 201841433 b,EPIC 201841433,Transit,K2,,[Fe/H],132,1,1,2019,4.1698,0.035,,,,,5053.0,0.63,0.8,0.0,4.59,436.488,14.5885
EPIC 205950854 c,K2-168,Transit,K2,,,133,1,2,2019,8.050722,,,,,961.0,5502.7,0.83,0.88,,,243.935,12.0976
EPIC 206024342 b,EPIC 206024342,Transit,K2,,,134,1,3,2019,4.50756,,,,,,,,0.93,,,369.888,12.9682
EPIC 206024342 c,EPIC 206024342,Transit,K2,,[Fe/H],135,1,3,2021,0.911724,,,,,,5724.0,1.1,,-0.22,4.5,369.888,12.9682
EPIC 206024342 d,EPIC 206024342,Transit,K2,,[Fe/H],136,1,3,2021,14.647531,,,,,,5724.0,1.1,,-0.22,4.5,369.888,12.9682
EPIC 206032309 b,EPIC 206032309,Transit,K2,,,137,1,1,2019,2.87814,,,,,,,,0.22,,,161.365,16.0689
EPIC 206042996 b,EPIC 206042996,Transit,K2,,,138,1,2,2019,5.29711,,,,,,,,0.56,,,451.769,15.9752
EPIC 206042996 c,EPIC 206042996,Transit,K2,,[Fe/H],139,1,2,2021,0.354884,,,,,,4114.0,0.5,,0.006,4.8,451.769,15.9752
EPIC 206215704 b,EPIC 206215704,Transit,K2,,,140,1,1,2019,2.25372,,,,,,,,0.41,,,109.888,16.1722
EPIC 206317286 b,EPIC 206317286,Transit,K2,,,141,1,1,2019,1.58252,,,,,,,,0.71,,,314.35,13.774
EPIC 211822797 b,EPIC 211822797,Transit,K2,,[Fe/H],142,1,1,2016,21.1701963,0.1195,,,,431.0,4057.0,0.58,0.62,0.2,4.7,186.197,14.5263
EPIC 211945201 b,EPIC 211945201,Transit,K2,,[Fe/H],143,1,1,2018,19.49221,0.1493,,,,817.0,6069.0,1.39,1.17,0.1,4.22,181.69,10.0512
EPIC 212297394 b,EPIC 212297394,Transit,K2,,[Fe/H],144,1,2,2019,2.289363,,,,,1149.0,5171.0,0.8,0.83,-0.03,4.55,418.395,14.1864
